Feature,TCGA_mean_Normal,TCGA_mean_Tumor,TCGA_deltaBeta,TCGA_wilcox_p,TCGA_FDR
DMR_31,0.115136634969228,0.445205284496156,0.330068649526927,4.54523402723533e-26,2.08323226248286e-25
DMR_32,0.0839517272013852,0.415412508300283,0.331460781098898,0.0000000000000000000000671387618925016,0.0000000000000000000000911485143574822
DMR_35,0.138299915679037,0.438877385840576,0.300577470161539,0.0000000000000000313620507622354,0.0000000000000000331713998446721
DMR_36,0.123451561186329,0.455279265624652,0.331827704438323,1.99600619039872e-26,1.3083066660535e-25
DMR_37,0.207475260471058,0.574112982971555,0.366637722500497,2.97572887119713e-26,1.59931983174561e-25
DMR_38,0.135087421122282,0.480513755124478,0.345426334002195,0.000000000000000000000067947074339214,0.0000000000000000000000911485143574822
DMR_4,0.107855871609922,0.498856294583547,0.391000422973625,7.77517083207492e-26,2.85089597176081e-25
DMR_41,0.182605517496592,0.512370070947518,0.329764553450926,9.1788357746759e-27,1.24155649774465e-25
DMR_44,0.2125153583958,0.539090462335678,0.326575103939877,4.37381466677167e-26,2.08323226248286e-25
DMR_45,0.0789837486342374,0.400041180565431,0.321057431931194,0.00000000000000000000000310478882123383,0.00000000000000000000000542105984659874
DMR_48,0.145477542081614,0.468041256867253,0.322563714785639,2.90613096538945e-25,7.79693673641071e-25
DMR_49,0.14432286302806,0.437836197441498,0.293513334413439,0.00000000000000000000000330217520712091,0.00000000000000000000000567561363723906
DMR_50,0.168055112478752,0.477600680720947,0.309545568242195,1.77704610511428e-26,1.3083066660535e-25
DMR_53,0.164183905607491,0.480570264996878,0.316386359389386,2.68469003672166e-26,1.55429423178622e-25
DMR_57,0.151211844705535,0.473706534661998,0.322494689956463,6.63060451626553e-27,1.24155649774465e-25
DMR_61,0.120005801194222,0.417613809357752,0.29760800816353,0.00000000000044101387039965,0.00000000000044101387039965
DMR_62,0.181052053575047,0.51121292223991,0.330160868664863,0.00000000000000000000000392344768663428,0.00000000000000000000000644148127656374
DMR_64,0.116815967433479,0.431838907264633,0.315022939831155,3.09509942594568e-25,8.10621278223868e-25
DMR_65,0.198791239755891,0.484038297166231,0.28524705741034,1.09651445542072e-25,3.54754676753761e-25
DMR_68,0.12056640386996,0.437227855682382,0.316661451812422,1.92019983035993e-26,1.3083066660535e-25
DMR_69,0.179827925262186,0.461776280532251,0.281948355270065,0.00000000000000000000000209097148949687,0.00000000000000000000000396563558352855
DMR_7,0.125890184249557,0.550056641631187,0.424166457381629,2.76137068646733e-27,1.24155649774465e-25
DMR_70,0.15651086777673,0.444177124529579,0.287666256752849,0.0000000000000000045123801751915,0.00000000000000000491447345812936
DMR_74,0.23372771390047,0.523847819318809,0.290120105418339,3.05324695151435e-26,1.59931983174561e-25
DMR_78,0.165462687549351,0.443029324226005,0.277566636676653,0.00000000000000000912386361818061,0.00000000000000000974393201941618
DMR_79,0.201737492985211,0.492575292963233,0.290837799978022,0.00000000000000000000000254841267515269,0.00000000000000000000000475127786892874
DMR_80,0.121599524104848,0.426849807825027,0.305250283720179,3.84739685259853e-26,1.92369842629927e-25
DMR_81,0.171895049850307,0.47121827276613,0.299323222915823,0.00000000000000000000000602980941424057,0.00000000000000000000000947541479380661
DMR_83,0.156373750009977,0.443621861360741,0.287248111350765,4.98996559151936e-25,0.00000000000000000000000115796479750175
DMR_85,0.249015153951332,0.55324228339166,0.304227129440328,2.86973258842828e-25,7.79693673641071e-25
DMR_9,0.167072497703382,0.515687012034868,0.348614514331486,1.23702778618874e-26,1.24155649774465e-25
DMR_93,0.213853552765137,0.487197474339286,0.273343921574149,0.00000000000000000000000159200957001917,0.00000000000000000000000318401914003834
DMR_94,0.203671968991982,0.470182463897924,0.266510494905942,8.39320696688952e-26,2.9221653839558e-25
DMR_95,0.0722313564401506,0.358583355793621,0.286351999353471,0.00000000000000000000000378124698089945,0.00000000000000000000000639903335229137
DMR_96,0.184767843231664,0.486358918739471,0.301591075507807,5.37980286044171e-25,0.00000000000000000000000120771084622161
DMR_98,0.290835742731837,0.572100652791698,0.281264910059862,2.62728828404412e-25,7.41030028832957e-25
