Feature,SHAP_rank,priority_rank,mean_abs_SHAP,discovery_deltaBeta,validation_mean_deltaBeta,legacy_discovery_deltaBeta,discovery_no_cpgs,score_SHAP,score_discovery_delta,priority_score,rank_change
DMR_152,50,41,0.00148991307448967,0.252918888333978,0.2307180498623,0.2307180498623,12,0.393849774244933,0.341042442493726,0.37272684154445,9
DMR_102,59,42,0.00137296835589377,0.265471117767985,0.221284198966765,0.221284198966765,12,0.336599732993439,0.424859255314962,0.371903541922048,17
DMR_209,24,43,0.00167113688015961,0.23135338511522,0.196432200312338,0.196432200312338,25,0.482567507503225,0.197039996060956,0.368356502926318,-19
DMR_15,39,44,0.00160673960277304,0.2374576153474,0.277553432842743,0.277553432842743,15,0.451041955677286,0.237800653399024,0.365745434765981,-5
DMR_187,41,45,0.00159059640699723,0.237153968401318,0.206396682040259,0.206396682040259,11,0.4431390881071,0.235773067831273,0.360192679996769,-4
DMR_48,92,46,0.00108029700528802,0.288693013410858,0.240957848798526,0.240957848798526,12,0.193323088297684,0.579922169890102,0.347962720934652,46
DMR_195,49,47,0.00149603890922739,0.240531554197863,0.202462897873407,0.202462897873407,16,0.396848663768505,0.258326708838638,0.341439881796558,2
DMR_183,65,48,0.00131614525893411,0.258811418226203,0.208541737670221,0.208541737670221,13,0.308782105279788,0.380389482604552,0.337425056209693,17
DMR_142,58,49,0.00138565197233176,0.249980833801557,0.203485448156812,0.203485448156812,8,0.342808970768444,0.321423747018375,0.334254881268416,9
DMR_122,45,50,0.00155817414455688,0.23087618759036,0.214340487860359,0.214340487860359,21,0.427266837658655,0.193853536171083,0.333901517063626,-5
DMR_26,62,51,0.00135175281840979,0.251038387789027,0.25819910012105,0.25819910012105,10,0.326213711198583,0.328485504858458,0.327122428662533,11
DMR_223,35,52,0.00161786219136498,0.218354052967268,0.189500608967548,0.189500608967548,16,0.456486995550459,0.110237679773294,0.317987269239593,-17
DMR_35,96,53,0.00106671993669597,0.278593109935573,0.248791049262963,0.248791049262963,6,0.186676462898079,0.512480627050944,0.316998128559225,43
DMR_213,43,54,0.00158593851576312,0.219941326039742,0.195062399161886,0.195062399161886,8,0.440858827241114,0.120836607295389,0.312849939262824,-11
DMR_120,29,55,0.00163963670600523,0.21400589064631,0.21490479323329,0.21490479323329,25,0.467146663437583,0.0812030680903121,0.312769225298675,-26
DMR_163,80,56,0.00119483081325467,0.26204505335035,0.217962076988089,0.217962076988089,12,0.249392873316701,0.401981901015779,0.310428484396333,24
DMR_145,75,57,0.00123275175690077,0.253993269436092,0.202117306136216,0.202117306136216,7,0.267956991594985,0.348216562454487,0.300060819938786,18
DMR_116,88,58,0.00112312758443196,0.265748866266515,0.216312237285097,0.216312237285097,14,0.214290708317267,0.426713905441863,0.299259987167105,30
DMR_23,51,59,0.0014856471807268,0.225113698258465,0.261172278422197,0.261172278422197,19,0.391761414917288,0.155374834657926,0.297206782813543,-8
DMR_166,67,60,0.00128660970500421,0.246894113746048,0.216262561586805,0.216262561586805,18,0.294323036916767,0.300812345794045,0.296918760467678,7
DMR_22,66,61,0.0013053498050551,0.243514635349678,0.262014026075075,0.262014026075075,14,0.303497213517918,0.278246067056776,0.293396754933461,5
DMR_215,70,62,0.0012602469216883,0.248333384009384,0.194267041680735,0.194267041680735,22,0.281417191740851,0.310422992802646,0.293019512165569,8
DMR_123,74,63,0.0012340047557537,0.251088764483576,0.213977879642294,0.213977879642294,18,0.268570394550497,0.328821892430066,0.292670993702324,11
DMR_175,83,64,0.00118227754510174,0.256341011588992,0.21086117011816,0.21086117011816,7,0.243247447270745,0.36389347989905,0.291505860322067,19
DMR_178,46,65,0.0015266109239992,0.218317387349477,0.210149450474841,0.210149450474841,12,0.41181512935876,0.10999284715296,0.29108621647644,-19
DMR_199,48,66,0.00149641844813046,0.220244063538062,0.200965427849634,0.200965427849634,13,0.397034466240976,0.12285812007637,0.287363927775134,-18
DMR_169,52,67,0.00146792247582308,0.222545003928997,0.215359432054197,0.215359432054197,12,0.383084322876773,0.138222521362514,0.285139602271069,-15
DMR_70,40,68,0.00159727255527681,0.20767419410814,0.230930027451516,0.230930027451516,18,0.446407382468708,0.0389235171650503,0.283413836347245,-28
DMR_81,73,69,0.00124363507201507,0.246215695033716,0.226724682519003,0.226724682519003,15,0.273284895639967,0.296282242633893,0.282483834437538,4
DMR_108,33,70,0.00161986653200769,0.204735436721774,0.219152609328831,0.219152609328831,9,0.457468216300359,0.0193001284216344,0.282200981148869,-37
DMR_68,79,71,0.00119965773273435,0.248275677146955,0.231467875593053,0.231467875593053,21,0.251755881605123,0.310037658443348,0.275068592340413,8
DMR_103,72,72,0.00124754486959351,0.242775347938437,0.220962485659266,0.220962485659266,16,0.275198928828795,0.273309516550361,0.274443163917421,0
DMR_69,102,73,0.000999079251597142,0.269212022894445,0.231382471720813,0.231382471720813,26,0.153563107642008,0.449838940909063,0.27207344094883,29
DMR_164,54,74,0.00140601650939846,0.224205208816232,0.216856208285013,0.216856208285013,21,0.352778387097239,0.149308447014994,0.271390411064341,-20
DMR_221,82,75,0.00118568819491816,0.24460069930485,0.190354583309273,0.190354583309273,14,0.244917123721538,0.285498198618037,0.261149553680138,7
DMR_176,60,76,0.00136162125938872,0.222772179728487,0.210802609922697,0.210802609922697,15,0.331044785743159,0.139739475108737,0.25452266148939,-16
DMR_12,110,77,0.000685395732470634,0.297004769705727,0.280338999267705,0.280338999267705,25,0,0.635423459541113,0.254169383816445,33
